,평균 버스 이용량 (명),1~2인가구,3인 가구 이상,30~59세 인구,비만도 분포,가구,수요,인프라,경제,value,매장명,target
134,-0.199254798,-0.33676496,-0.520849723,1.49990467,1.493294425,1.08240365,-0.642035467,-0.546735599,-0.427627014,2.161592506,담꾹 등촌역점,1
135,-0.678727128,0.507108377,1.821936376,-0.07965346,0.147306783,-0.756453885,0.217098825,0.142278329,0.519152168,2.287769784,담꾹 마곡방화점,1
136,-1.270142474,-0.803301332,-0.167241789,2.405805961,-0.114413036,-1.482440752,-1.323336218,-1.393661021,-0.273126076,1.859195402,담꾹 마들역점,1
137,1.276561125,0.014164286,-0.699256143,-0.660327988,-2.133394497,1.557076652,1.597561536,1.233385187,1.095741243,2.12244898,담꾹 매헌점,1
138,0.074235001,-0.211181584,0.867942766,-1.172533725,-0.450909946,-1.328154186,1.627930671,1.370694943,0.643830885,1.435185185,담꾹 문래점,0
139,-0.074322517,0.191682843,0.051760103,-0.095206865,1.642848607,0.326161372,-0.159887291,-0.057964077,-0.651890242,2.167272727,담꾹 방학역점,1
140,-0.047213481,-0.637519539,-0.578003875,-0.343638692,0.670746422,-1.354182309,-0.988348073,-1.700727865,-1.339332528,1.826315789,담꾹 봉화산역점,1
141,-0.728469326,-0.13078475,-0.649045953,1.265673777,0.670746422,0.384234531,-0.453311531,-0.350070119,-0.786741229,2.38,담꾹 사가정점,1
142,0.181863642,0.113046523,0.632916345,2.405805961,-0.114413036,-2.348537624,-0.461799576,1.053167469,0.527223738,1.89017341,담꾹 상계백병원점,1
143,-0.483172924,-0.037184057,0.002618215,-1.33770412,-1.086515221,-0.897444762,0.301080798,1.527575371,1.209189793,1.887096774,담꾹 상왕십리점,1
144,-0.511712395,1.283201902,-0.306121038,-0.784121255,-0.750018311,3.042794659,0.037479803,1.759034052,2.446211745,2.040816327,담꾹 석촌호수점,1
145,-0.593500933,0.635039106,-0.124509712,0.769359563,-0.151801581,2.083546588,-0.399177975,-0.809568218,-0.253695751,1.660098522,담꾹 성대시장점,0
146,0.20611181,1.691347873,0.795832387,-1.235254519,-1.273457949,-0.826418742,0.060263702,0.307691029,-0.037823803,2.154166667,담꾹 성산시영점,1
