동별,사업체수 (개),종사자수 (명),평균종사자 (명)
고덕1동,"1,274","3,072",2.41
고덕2동,"1,063","3,653",3.44
암사2동,"1,200","3,806",3.17
암사3동,"1,132","2,626",2.32
천호1동,"2,331","5,974",2.56
천호3동,"2,545","9,343",3.67
성내1동,"3,082","17,417",5.65
성내2동,"2,617","7,288",2.78
성내3동,"3,220","9,494",2.95
둔촌1동,36,286,7.94
둔촌2동,"2,063","9,942",4.82
암사1동,"2,733","6,272",2.29
천호2동,"4,863","14,840",3.05
길동,"5,966","23,814",3.99
강일동,"1,443","5,960",4.13
상일1동,"1,679","7,035",4.19
상일2동,475,"13,978",29.43
