동,1G,2G,3인세대,4인세대,5인세대,3G,6인세대,7인세대,8인세대,9인세대,10인세대 이상,4G
내곡동,"2,250","1,945","1,486","1,148",290,"2,924",74,22,8,2,3,109
신사동,"2,669","1,561","1,242","1,066",244,"2,552",67,17,10,0,2,96
개포3동,"2,444","1,876","1,577","1,251",213,"3,041",43,8,1,0,0,52
논현1동,"9,376","2,274","1,077",670,204,"1,951",56,14,8,2,2,82
논현2동,"6,276","2,101","1,456","1,001",217,"2,674",71,12,6,1,0,90
삼성1동,"1,988","1,215",983,837,238,"2,058",62,16,7,3,1,89
삼성2동,"5,810","2,437","2,463","2,344",473,"5,280",113,24,15,2,1,155
대치1동,576,"1,099","1,994","2,843",550,"5,387",104,27,7,7,0,145
대치4동,"5,404","1,706","1,270","1,191",255,"2,716",69,12,3,1,1,86
역삼1동,"17,533","3,375","1,486",941,264,"2,691",69,19,7,3,3,101
역삼2동,"6,596","2,309","2,992","3,210",520,"6,722",127,37,10,3,3,180
도곡1동,"2,701","1,638","1,824","1,794",350,"3,968",88,20,8,1,1,118
도곡2동,"2,146","2,438","2,974","3,140",627,"6,741",126,32,10,1,4,173
개포1동,686,630,568,554,147,"1,269",36,6,3,2,0,47
개포4동,"3,581","2,276","2,020","1,701",354,"4,075",73,16,7,3,3,102
일원본동,"1,483","1,733","2,030","2,306",393,"4,729",61,18,4,0,1,84
일원1동,"3,466","1,839","1,145",725,204,"2,074",43,11,2,0,0,56
수서동,"3,755","2,270","1,006",549,116,"1,671",27,9,4,0,0,40
세곡동,"6,333","4,129","3,316","3,069",926,"7,311",223,42,13,3,0,281
압구정동,"2,704","2,474","2,290","1,958",441,"4,689",140,26,14,4,2,186
청담동,"4,388","2,303","2,036","1,756",430,"4,222",98,33,14,3,2,150
대치2동,"2,578","2,537","3,228","3,707",704,"7,639",141,42,9,2,3,197
개포2동,"1,705","2,326","2,584","2,747",585,"5,916",112,29,4,2,0,147
풍납1동,"2,406","1,458","1,042",728,144,"1,914",37,12,0,0,0,49
풍납2동,"4,306","2,385","2,069","1,669",318,"4,056",77,22,6,2,1,108
거여1동,"2,189","1,427",996,755,172,"1,923",33,8,2,0,0,43
거여2동,"3,277","2,648","2,052","1,604",379,"4,035",61,15,1,1,2,80
마천1동,"3,668","2,177","1,460","1,035",290,"2,785",63,11,4,0,0,78
마천2동,"3,630","2,234","1,410","1,006",226,"2,642",64,11,2,1,1,79
방이1동,"1,891","1,312","1,317","1,255",261,"2,833",72,15,3,1,0,91
방이2동,"9,307","2,835","1,624","1,055",254,"2,933",56,10,4,2,0,72
오륜동,705,"1,359","1,546","1,828",343,"3,717",72,27,7,1,1,108
오금동,"4,752","3,916","3,440","2,693",599,"6,732",139,30,6,3,1,179
송파1동,"6,394","2,744","1,712","1,163",278,"3,153",73,17,6,2,1,99
송파2동,"1,807","1,654","1,751","1,544",343,"3,638",65,12,8,1,0,86
석촌동,"9,154","3,661","2,159","1,471",312,"3,942",81,15,6,2,0,104
삼전동,"8,717","3,437","2,050","1,396",314,"3,760",75,17,2,4,1,99
가락본동,"4,712","2,631","2,190","1,619",394,"4,203",71,16,5,2,3,97
가락1동,"1,701","2,494","2,691","2,398",455,"5,544",92,20,3,1,3,119
가락2동,"3,428","2,723","2,803","2,738",477,"6,018",102,29,6,2,0,139
문정1동,"3,004","2,007","1,630","1,428",310,"3,368",62,19,6,0,2,89
문정2동,"9,033","2,873","1,849","1,514",304,"3,667",73,23,11,4,2,113
잠실본동,"9,352","2,993","1,874","1,246",277,"3,397",58,15,3,4,0,80
잠실4동,"1,043","1,555","2,078","2,029",388,"4,495",83,19,8,1,1,112
잠실6동,979,"1,440","1,577","1,421",311,"3,309",89,16,3,4,2,114
잠실7동,536,968,842,806,173,"1,821",40,8,2,1,0,51
